============================================================
[PRETRAIN START] 2026-03-20 18:11:47 gpu=1
CUDA_VISIBLE_DEVICES=1
base_cfg=config/base_reconst_L7_D512_BP3_50.yaml
stage_cfg=config/pretrain_reconst.yaml
============================================================
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L7_D512_BP3_50
[INFO] model params: 87,723,457
[Epoch 077/150] loss=0.257130 | best=0.257130 (epoch 77) | time=59.0s
[Epoch 078/150] loss=0.256724 | best=0.256724 (epoch 78) | time=59.1s
[Epoch 079/150] loss=0.247897 | best=0.247897 (epoch 79) | time=59.3s
[Epoch 080/150] loss=0.250381 | best=0.247897 (epoch 79) | time=52.7s
[Epoch 081/150] loss=0.241433 | best=0.241433 (epoch 81) | time=61.2s
[Epoch 082/150] loss=0.234000 | best=0.234000 (epoch 82) | time=61.6s
[Epoch 083/150] loss=0.237045 | best=0.234000 (epoch 82) | time=54.7s
[Epoch 084/150] loss=0.237123 | best=0.234000 (epoch 82) | time=55.4s
[Epoch 085/150] loss=0.221134 | best=0.221134 (epoch 85) | time=61.2s
[Epoch 086/150] loss=0.218109 | best=0.218109 (epoch 86) | time=61.1s
[Epoch 087/150] loss=0.217555 | best=0.217555 (epoch 87) | time=60.2s
[Epoch 088/150] loss=0.209359 | best=0.209359 (epoch 88) | time=60.8s
[Epoch 089/150] loss=0.209677 | best=0.209359 (epoch 88) | time=45.3s
[Epoch 090/150] loss=0.202397 | best=0.202397 (epoch 90) | time=52.6s
[Epoch 091/150] loss=0.199815 | best=0.199815 (epoch 91) | time=53.2s
[Epoch 092/150] loss=0.199143 | best=0.199143 (epoch 92) | time=61.6s
[Epoch 093/150] loss=0.198683 | best=0.198683 (epoch 93) | time=69.8s
[Epoch 094/150] loss=0.202539 | best=0.198683 (epoch 93) | time=54.7s
[Epoch 095/150] loss=0.197499 | best=0.197499 (epoch 95) | time=60.4s
[Epoch 096/150] loss=0.189937 | best=0.189937 (epoch 96) | time=68.4s
[Epoch 097/150] loss=0.191094 | best=0.189937 (epoch 96) | time=54.3s
[Epoch 098/150] loss=0.187920 | best=0.187920 (epoch 98) | time=60.3s
[Epoch 099/150] loss=0.183202 | best=0.183202 (epoch 99) | time=60.7s
[Epoch 100/150] loss=0.188353 | best=0.183202 (epoch 99) | time=45.3s
[Epoch 101/150] loss=0.179778 | best=0.179778 (epoch 101) | time=60.1s
[Epoch 102/150] loss=0.178633 | best=0.178633 (epoch 102) | time=59.9s
[Epoch 103/150] loss=0.180497 | best=0.178633 (epoch 102) | time=45.2s
[Epoch 104/150] loss=0.167908 | best=0.167908 (epoch 104) | time=60.9s
[Epoch 105/150] loss=0.171801 | best=0.167908 (epoch 104) | time=45.5s
[Epoch 106/150] loss=0.175080 | best=0.167908 (epoch 104) | time=45.3s
[Epoch 107/150] loss=0.172563 | best=0.167908 (epoch 104) | time=46.1s
[Epoch 108/150] loss=0.168494 | best=0.167908 (epoch 104) | time=47.0s
[Epoch 109/150] loss=0.170990 | best=0.167908 (epoch 104) | time=46.4s
[Epoch 110/150] loss=0.169193 | best=0.167908 (epoch 104) | time=46.8s
[Epoch 111/150] loss=0.164581 | best=0.164581 (epoch 111) | time=55.6s
[Epoch 112/150] loss=0.165841 | best=0.164581 (epoch 111) | time=46.6s
[Epoch 113/150] loss=0.160518 | best=0.160518 (epoch 113) | time=62.7s
[Epoch 114/150] loss=0.157571 | best=0.157571 (epoch 114) | time=60.8s
[Epoch 115/150] loss=0.155457 | best=0.155457 (epoch 115) | time=61.4s
[Epoch 116/150] loss=0.156553 | best=0.155457 (epoch 115) | time=45.4s
[Epoch 117/150] loss=0.156134 | best=0.155457 (epoch 115) | time=54.5s
[Epoch 118/150] loss=0.152366 | best=0.152366 (epoch 118) | time=70.2s
[Epoch 119/150] loss=0.150608 | best=0.150608 (epoch 119) | time=71.8s
[Epoch 120/150] loss=0.147515 | best=0.147515 (epoch 120) | time=61.3s
[Epoch 121/150] loss=0.146874 | best=0.146874 (epoch 121) | time=62.8s
[Epoch 122/150] loss=0.151548 | best=0.146874 (epoch 121) | time=55.2s
[Epoch 123/150] loss=0.146032 | best=0.146032 (epoch 123) | time=64.1s
[Epoch 124/150] loss=0.144340 | best=0.144340 (epoch 124) | time=63.5s
[Epoch 125/150] loss=0.147083 | best=0.144340 (epoch 124) | time=56.0s
[Epoch 126/150] loss=0.146126 | best=0.144340 (epoch 124) | time=55.5s
[Epoch 127/150] loss=0.143732 | best=0.143732 (epoch 127) | time=62.6s
[Epoch 128/150] loss=0.146072 | best=0.143732 (epoch 127) | time=45.6s
[Epoch 129/150] loss=0.142974 | best=0.142974 (epoch 129) | time=53.8s
[Epoch 130/150] loss=0.138117 | best=0.138117 (epoch 130) | time=60.8s
[Epoch 131/150] loss=0.141943 | best=0.138117 (epoch 130) | time=54.3s
[Epoch 132/150] loss=0.138490 | best=0.138117 (epoch 130) | time=46.4s
[Epoch 133/150] loss=0.133937 | best=0.133937 (epoch 133) | time=60.8s
[Epoch 134/150] loss=0.135382 | best=0.133937 (epoch 133) | time=45.2s
[Epoch 135/150] loss=0.135110 | best=0.133937 (epoch 133) | time=46.6s
[Epoch 136/150] loss=0.132976 | best=0.132976 (epoch 136) | time=53.5s
[Epoch 137/150] loss=0.136983 | best=0.132976 (epoch 136) | time=46.1s
[Epoch 138/150] loss=0.137307 | best=0.132976 (epoch 136) | time=45.8s
[Epoch 139/150] loss=0.136910 | best=0.132976 (epoch 136) | time=45.8s
[Epoch 140/150] loss=0.130502 | best=0.130502 (epoch 140) | time=53.1s
[Epoch 141/150] loss=0.125148 | best=0.125148 (epoch 141) | time=53.6s
[Epoch 142/150] loss=0.129272 | best=0.125148 (epoch 141) | time=45.8s
[Epoch 143/150] loss=0.130073 | best=0.125148 (epoch 141) | time=45.9s
[Epoch 144/150] loss=0.128783 | best=0.125148 (epoch 141) | time=45.8s
[Epoch 145/150] loss=0.127320 | best=0.125148 (epoch 141) | time=46.4s
[Epoch 146/150] loss=0.124659 | best=0.124659 (epoch 146) | time=52.9s
[Epoch 147/150] loss=0.123134 | best=0.123134 (epoch 147) | time=53.4s
[Epoch 148/150] loss=0.122758 | best=0.122758 (epoch 148) | time=53.9s
[Epoch 149/150] loss=0.120651 | best=0.120651 (epoch 149) | time=54.9s
[Epoch 150/150] loss=0.121337 | best=0.120651 (epoch 149) | time=46.5s
[DONE] training finished in 139.27 min
[DONE] best loss = 0.120651 at epoch 149
[PRETRAIN DONE] base_reconst_L7_D512_BP3_50 status=0
