============================================================
[START] 2026-03-19 13:52:40 worker=4 gpu=5 cfg=config/base_hpo3_reconst_13.yaml mode=full
============================================================
[INFO] CUDA_VISIBLE_DEVICES=5
[INFO] MODE=full
[INFO] BASE_CFG=config/base_hpo3_reconst_13.yaml
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D256_BP3_50
[INFO] model params: 21,916,865
[Epoch 121/150] loss=0.061052 | best=0.055894 (epoch 118) | time=50.7s
[Epoch 122/150] loss=0.056248 | best=0.055894 (epoch 118) | time=51.9s
[Epoch 123/150] loss=0.057288 | best=0.055894 (epoch 118) | time=43.4s
[Epoch 124/150] loss=0.058205 | best=0.055894 (epoch 118) | time=39.8s
[Epoch 125/150] loss=0.055455 | best=0.055455 (epoch 125) | time=73.9s
[Epoch 126/150] loss=0.054158 | best=0.054158 (epoch 126) | time=43.9s
[Epoch 127/150] loss=0.056635 | best=0.054158 (epoch 126) | time=38.2s
[Epoch 128/150] loss=0.054922 | best=0.054158 (epoch 126) | time=37.7s
[Epoch 129/150] loss=0.055217 | best=0.054158 (epoch 126) | time=49.7s
[Epoch 130/150] loss=0.054379 | best=0.054158 (epoch 126) | time=41.8s
[Epoch 131/150] loss=0.052283 | best=0.052283 (epoch 131) | time=47.1s
[Epoch 132/150] loss=0.054313 | best=0.052283 (epoch 131) | time=46.6s
[Epoch 133/150] loss=0.050430 | best=0.050430 (epoch 133) | time=59.8s
[Epoch 134/150] loss=0.053111 | best=0.050430 (epoch 133) | time=44.0s
[Epoch 135/150] loss=0.053192 | best=0.050430 (epoch 133) | time=37.2s
[Epoch 136/150] loss=0.048482 | best=0.048482 (epoch 136) | time=48.3s
[Epoch 137/150] loss=0.049935 | best=0.048482 (epoch 136) | time=53.5s
[Epoch 138/150] loss=0.048385 | best=0.048385 (epoch 138) | time=46.1s
[Epoch 139/150] loss=0.052954 | best=0.048385 (epoch 138) | time=39.0s
[Epoch 140/150] loss=0.053499 | best=0.048385 (epoch 138) | time=36.4s
[Epoch 141/150] loss=0.051429 | best=0.048385 (epoch 138) | time=44.3s
[Epoch 142/150] loss=0.050698 | best=0.048385 (epoch 138) | time=36.0s
[Epoch 143/150] loss=0.049824 | best=0.048385 (epoch 138) | time=37.4s
[Epoch 144/150] loss=0.049076 | best=0.048385 (epoch 138) | time=43.4s
[Epoch 145/150] loss=0.049080 | best=0.048385 (epoch 138) | time=41.9s
[Epoch 146/150] loss=0.048724 | best=0.048385 (epoch 138) | time=38.6s
[Epoch 147/150] loss=0.051324 | best=0.048385 (epoch 138) | time=41.2s
[Epoch 148/150] loss=0.048119 | best=0.048119 (epoch 148) | time=42.7s
[Epoch 149/150] loss=0.048471 | best=0.048119 (epoch 148) | time=36.9s
[Epoch 150/150] loss=0.048281 | best=0.048119 (epoch 148) | time=36.4s
[DONE] training finished in 177.36 min
[DONE] best loss = 0.048119 at epoch 148
/home/ted1204/MS_Detection/src/training/trainer_finetune.py:186: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  ckpt = torch.load(encoder_ckpt_path, map_location="cpu")
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] save_dir: runs/hpo_stage1c_reconst/finetune/pohang_hpo3_reconst_L6_D256_BP3_50
[INFO] model params: 6,552,801
[DEBUG] pretrained_encoder_path = runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D256_BP3_50/best_encoder.pt
[INFO] loaded encoder weights from: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D256_BP3_50/best_encoder.pt
[INFO] encoder load missing keys   : 0
[INFO] encoder load unexpected keys: 0
[INFO] center_c shape: (256,)
[Epoch 001/100] train_loss=1.229648 | val_loss=1.643062 | val_acc=0.5709 | best_metric=0.5709 (epoch 1) | time=9.8s
[Epoch 002/100] train_loss=0.866780 | val_loss=0.998046 | val_acc=0.5709 | best_metric=0.5709 (epoch 1) | time=11.5s
[Epoch 003/100] train_loss=0.735194 | val_loss=0.777439 | val_acc=0.6540 | best_metric=0.6540 (epoch 3) | time=11.2s
[Epoch 004/100] train_loss=0.665918 | val_loss=0.693115 | val_acc=0.7301 | best_metric=0.7301 (epoch 4) | time=10.8s
[Epoch 005/100] train_loss=0.622958 | val_loss=0.628795 | val_acc=0.8235 | best_metric=0.8235 (epoch 5) | time=9.9s
[Epoch 006/100] train_loss=0.578920 | val_loss=0.575995 | val_acc=0.8478 | best_metric=0.8478 (epoch 6) | time=10.9s
[Epoch 007/100] train_loss=0.527196 | val_loss=0.623137 | val_acc=0.8028 | best_metric=0.8478 (epoch 6) | time=10.2s
[Epoch 008/100] train_loss=0.560614 | val_loss=0.449025 | val_acc=0.8962 | best_metric=0.8962 (epoch 8) | time=11.6s
[Epoch 009/100] train_loss=0.480688 | val_loss=0.425228 | val_acc=0.8997 | best_metric=0.8997 (epoch 9) | time=13.0s
[Epoch 010/100] train_loss=0.430081 | val_loss=0.377420 | val_acc=0.9273 | best_metric=0.9273 (epoch 10) | time=10.3s
[Epoch 011/100] train_loss=0.422059 | val_loss=0.671889 | val_acc=0.7716 | best_metric=0.9273 (epoch 10) | time=9.7s
[Epoch 012/100] train_loss=0.375333 | val_loss=0.356428 | val_acc=0.9481 | best_metric=0.9481 (epoch 12) | time=11.2s
[Epoch 013/100] train_loss=0.368454 | val_loss=0.317775 | val_acc=0.9170 | best_metric=0.9481 (epoch 12) | time=10.6s
[Epoch 014/100] train_loss=0.348000 | val_loss=0.466060 | val_acc=0.9204 | best_metric=0.9481 (epoch 12) | time=10.9s
[Epoch 015/100] train_loss=0.357817 | val_loss=0.296198 | val_acc=0.9308 | best_metric=0.9481 (epoch 12) | time=10.6s
[Epoch 016/100] train_loss=0.355106 | val_loss=0.310045 | val_acc=0.9792 | best_metric=0.9792 (epoch 16) | time=12.4s
[Epoch 017/100] train_loss=0.322376 | val_loss=0.258442 | val_acc=0.9204 | best_metric=0.9792 (epoch 16) | time=11.7s
[Epoch 018/100] train_loss=0.326738 | val_loss=0.301351 | val_acc=0.9689 | best_metric=0.9792 (epoch 16) | time=10.1s
[Epoch 019/100] train_loss=0.275368 | val_loss=0.236441 | val_acc=0.9654 | best_metric=0.9792 (epoch 16) | time=10.5s
[Epoch 020/100] train_loss=0.321570 | val_loss=0.237989 | val_acc=0.9481 | best_metric=0.9792 (epoch 16) | time=10.5s
[Epoch 021/100] train_loss=0.255794 | val_loss=0.296774 | val_acc=0.9689 | best_metric=0.9792 (epoch 16) | time=10.9s
[Epoch 022/100] train_loss=0.273047 | val_loss=0.274797 | val_acc=0.9204 | best_metric=0.9792 (epoch 16) | time=13.7s
[Epoch 023/100] train_loss=0.265841 | val_loss=0.237229 | val_acc=0.9689 | best_metric=0.9792 (epoch 16) | time=10.7s
[Epoch 024/100] train_loss=0.232606 | val_loss=0.203285 | val_acc=0.9827 | best_metric=0.9827 (epoch 24) | time=12.4s
[Epoch 025/100] train_loss=0.205884 | val_loss=0.238705 | val_acc=0.9792 | best_metric=0.9827 (epoch 24) | time=11.2s
[Epoch 026/100] train_loss=0.238642 | val_loss=0.193346 | val_acc=0.9723 | best_metric=0.9827 (epoch 24) | time=11.8s
[Epoch 027/100] train_loss=0.202572 | val_loss=0.253558 | val_acc=0.9758 | best_metric=0.9827 (epoch 24) | time=10.7s
[Epoch 028/100] train_loss=0.195862 | val_loss=0.205172 | val_acc=0.9377 | best_metric=0.9827 (epoch 24) | time=10.5s
[Epoch 029/100] train_loss=0.200002 | val_loss=0.350194 | val_acc=0.9550 | best_metric=0.9827 (epoch 24) | time=9.6s
[Epoch 030/100] train_loss=0.167522 | val_loss=0.380518 | val_acc=0.9170 | best_metric=0.9827 (epoch 24) | time=11.5s
[Epoch 031/100] train_loss=0.203490 | val_loss=0.344715 | val_acc=0.9481 | best_metric=0.9827 (epoch 24) | time=10.3s
[Epoch 032/100] train_loss=0.208506 | val_loss=0.188103 | val_acc=0.9827 | best_metric=0.9827 (epoch 24) | time=10.4s
[Epoch 033/100] train_loss=0.192405 | val_loss=0.277774 | val_acc=0.9689 | best_metric=0.9827 (epoch 24) | time=10.6s
[Epoch 034/100] train_loss=0.212702 | val_loss=0.198355 | val_acc=0.9827 | best_metric=0.9827 (epoch 24) | time=10.0s
[Epoch 035/100] train_loss=0.197787 | val_loss=0.211871 | val_acc=0.9792 | best_metric=0.9827 (epoch 24) | time=10.7s
[Epoch 036/100] train_loss=0.175476 | val_loss=0.202057 | val_acc=0.9792 | best_metric=0.9827 (epoch 24) | time=10.6s
[Epoch 037/100] train_loss=0.153810 | val_loss=0.177746 | val_acc=0.9585 | best_metric=0.9827 (epoch 24) | time=10.5s
[Epoch 038/100] train_loss=0.138669 | val_loss=0.167905 | val_acc=0.9723 | best_metric=0.9827 (epoch 24) | time=11.2s
[Epoch 039/100] train_loss=0.148298 | val_loss=0.180302 | val_acc=0.9792 | best_metric=0.9827 (epoch 24) | time=11.6s
[Epoch 040/100] train_loss=0.159267 | val_loss=0.195713 | val_acc=0.9758 | best_metric=0.9827 (epoch 24) | time=11.3s
[Epoch 041/100] train_loss=0.150488 | val_loss=0.181123 | val_acc=0.9792 | best_metric=0.9827 (epoch 24) | time=11.5s
[Epoch 042/100] train_loss=0.184077 | val_loss=0.184807 | val_acc=0.9758 | best_metric=0.9827 (epoch 24) | time=13.0s
[Epoch 043/100] train_loss=0.165857 | val_loss=0.181965 | val_acc=0.9619 | best_metric=0.9827 (epoch 24) | time=10.6s
[Epoch 044/100] train_loss=0.145247 | val_loss=0.219750 | val_acc=0.9689 | best_metric=0.9827 (epoch 24) | time=12.8s
[Epoch 045/100] train_loss=0.137291 | val_loss=0.292947 | val_acc=0.9446 | best_metric=0.9827 (epoch 24) | time=9.3s
[Epoch 046/100] train_loss=0.114628 | val_loss=0.202071 | val_acc=0.9619 | best_metric=0.9827 (epoch 24) | time=10.7s
[Epoch 047/100] train_loss=0.126735 | val_loss=0.219404 | val_acc=0.9723 | best_metric=0.9827 (epoch 24) | time=10.5s
[Epoch 048/100] train_loss=0.130352 | val_loss=0.236452 | val_acc=0.9654 | best_metric=0.9827 (epoch 24) | time=12.6s
[Epoch 049/100] train_loss=0.130295 | val_loss=0.247346 | val_acc=0.9792 | best_metric=0.9827 (epoch 24) | time=11.0s
[Epoch 050/100] train_loss=0.153389 | val_loss=0.236121 | val_acc=0.9377 | best_metric=0.9827 (epoch 24) | time=9.7s
[Epoch 051/100] train_loss=0.116887 | val_loss=0.180334 | val_acc=0.9758 | best_metric=0.9827 (epoch 24) | time=10.9s
[Epoch 052/100] train_loss=0.087540 | val_loss=0.196815 | val_acc=0.9550 | best_metric=0.9827 (epoch 24) | time=10.7s
[Epoch 053/100] train_loss=0.118281 | val_loss=0.244634 | val_acc=0.9446 | best_metric=0.9827 (epoch 24) | time=10.1s
[Epoch 054/100] train_loss=0.094317 | val_loss=0.193658 | val_acc=0.9689 | best_metric=0.9827 (epoch 24) | time=10.2s
[Epoch 055/100] train_loss=0.111843 | val_loss=0.194357 | val_acc=0.9619 | best_metric=0.9827 (epoch 24) | time=10.7s
[Epoch 056/100] train_loss=0.082923 | val_loss=0.214789 | val_acc=0.9481 | best_metric=0.9827 (epoch 24) | time=12.1s
[Epoch 057/100] train_loss=0.109726 | val_loss=0.200922 | val_acc=0.9550 | best_metric=0.9827 (epoch 24) | time=13.3s
[Epoch 058/100] train_loss=0.117972 | val_loss=0.215816 | val_acc=0.9412 | best_metric=0.9827 (epoch 24) | time=12.3s
[Epoch 059/100] train_loss=0.077253 | val_loss=0.212104 | val_acc=0.9758 | best_metric=0.9827 (epoch 24) | time=10.2s
[Epoch 060/100] train_loss=0.106126 | val_loss=0.198394 | val_acc=0.9516 | best_metric=0.9827 (epoch 24) | time=9.6s
[Epoch 061/100] train_loss=0.109030 | val_loss=0.204246 | val_acc=0.9758 | best_metric=0.9827 (epoch 24) | time=12.2s
[Epoch 062/100] train_loss=0.085610 | val_loss=0.198658 | val_acc=0.9516 | best_metric=0.9827 (epoch 24) | time=10.4s
[Epoch 063/100] train_loss=0.060324 | val_loss=0.305963 | val_acc=0.9550 | best_metric=0.9827 (epoch 24) | time=10.5s
[Epoch 064/100] train_loss=0.067546 | val_loss=0.189495 | val_acc=0.9516 | best_metric=0.9827 (epoch 24) | time=10.3s
[Epoch 065/100] train_loss=0.112611 | val_loss=0.325555 | val_acc=0.9412 | best_metric=0.9827 (epoch 24) | time=11.7s
[Epoch 066/100] train_loss=0.084422 | val_loss=0.191248 | val_acc=0.9481 | best_metric=0.9827 (epoch 24) | time=10.1s
[Epoch 067/100] train_loss=0.097735 | val_loss=0.302385 | val_acc=0.9481 | best_metric=0.9827 (epoch 24) | time=10.6s
[Epoch 068/100] train_loss=0.076700 | val_loss=0.232991 | val_acc=0.9723 | best_metric=0.9827 (epoch 24) | time=11.4s
[Epoch 069/100] train_loss=0.070444 | val_loss=0.209408 | val_acc=0.9654 | best_metric=0.9827 (epoch 24) | time=11.2s
[Epoch 070/100] train_loss=0.074503 | val_loss=0.211601 | val_acc=0.9516 | best_metric=0.9827 (epoch 24) | time=11.0s
[Epoch 071/100] train_loss=0.077712 | val_loss=0.286916 | val_acc=0.9516 | best_metric=0.9827 (epoch 24) | time=10.7s
[Epoch 072/100] train_loss=0.053703 | val_loss=0.287677 | val_acc=0.9585 | best_metric=0.9827 (epoch 24) | time=11.2s
[Epoch 073/100] train_loss=0.067669 | val_loss=0.255644 | val_acc=0.9446 | best_metric=0.9827 (epoch 24) | time=10.5s
[Epoch 074/100] train_loss=0.069718 | val_loss=0.213219 | val_acc=0.9550 | best_metric=0.9827 (epoch 24) | time=10.2s
[Epoch 075/100] train_loss=0.070074 | val_loss=0.200356 | val_acc=0.9481 | best_metric=0.9827 (epoch 24) | time=11.6s
[Epoch 076/100] train_loss=0.076285 | val_loss=0.211251 | val_acc=0.9619 | best_metric=0.9827 (epoch 24) | time=12.4s
[Epoch 077/100] train_loss=0.099536 | val_loss=0.263139 | val_acc=0.9619 | best_metric=0.9827 (epoch 24) | time=10.7s
[Epoch 078/100] train_loss=0.064769 | val_loss=0.239392 | val_acc=0.9481 | best_metric=0.9827 (epoch 24) | time=10.9s
[Epoch 079/100] train_loss=0.056551 | val_loss=0.305230 | val_acc=0.9446 | best_metric=0.9827 (epoch 24) | time=11.3s
